tweets,len,ID,Date,Source,Likes,RTs,location,UserName,Name,clean tweets,clean tweet length
@noon حلو,9,1237056817714401280,2020-03-09 16:45:03,Twitter for Android,0,0,Saudi Arabia,almrkazameen991,Ameen althrhain, حلو,4
"RT @noon: بالبسمة 🎶

توصلك 💛

البهجة 😁

#طلباتك_أوامر 
#هلا_نون https://t.co/H49FTSoVJj",87,1237056779881713665,2020-03-09 16:44:54,Twitter for Android,0,39,Saudi Arabia,almrkazameen991,Ameen althrhain,RT بالبسمه 🎶  توصلك 💛  البهجه 😁  طلباتكاوامر  هلانون ,53
See Whats Happening Around Town &amp; Worldwide @Noon W/ @SylviaFOX32 &amp; @KaitlinCody With All The Lastest On Your #1 Ne… https://t.co/i22G7k6xtq,148,1237055940840640512,2020-03-09 16:41:34,Twitter for iPhone,0,0,USA,DeeMillChi,DeeMill,Se Whats Hapening Around Town amp Worldwide W amp With Al The Lastest On Your 1 Ne ,83
"@noon إستخدم كود خصم 🔥 CD323 🔥 

💰 - خصم يصل الى 10٪ 
✅ - يشمل كافة المنتجات

للطلب 👇🏻
https://t.co/SR65Q4oMe9",110,1237055053837582338,2020-03-09 16:38:02,Twitter for iPhone,0,0,None,jobssa24,عروض وتخفيضات, استخدم كود خصم 🔥 CD323 🔥   💰 خصم يصل الي 10٪  ✅ يشمل كافه المنتجات  لطلب 👇🏻  ,78
@noon هل تضمنون عطوركم انها اصليه؟,34,1237053302229123075,2020-03-09 16:31:05,Twitter for iPhone,0,0,None,najdalmu,none, هل تضمنون عطوركم انها اصليه,28
@noon عندي رصيد في محفظة نون ابي ارجعها لبطاقتي كيف ؟,53,1237052791610388483,2020-03-09 16:29:03,Twitter for Android,0,0,Saudi Arabia,iika_desi,"كاديس 🖐🔥""", عندي رصيد في محفظه نون ابي ارجعها لبطاقتي كيف ,47
@alwayscravepiza @noon حسابك خاص طيب😭,37,1237042545118441472,2020-03-09 15:48:20,Twitter for iPhone,0,0,Other,bblvck03,𝐌𝐫𝐬. 𝐁𝐥𝐚𝐜𝐤, حسابك خاص طيب😭,15
@noon كود خصم نون HAOL,22,1237041055851319296,2020-03-09 15:42:25,Twitter for iPhone,0,0,None,Gg29206704,Gg, كود خصم نون HAOL,17
@noon ممكن تشوفو الخاص,22,1237039349776240641,2020-03-09 15:35:38,Twitter for iPhone,1,0,Saudi Arabia,fofa_bnt_habib,afifah, مكن تشوفو الخاص,16
"تخيلوا لو يصير مستر كاندي ع الملابس او الاكواب والادوات 😍😍✨👏🏼 وش رايكم🤔؟
لازم نجرب💪🏼
#mrcandystory @NAMSHI_KSA… https://t.co/dxDj0Rjh66",135,1237037320240594946,2020-03-09 15:27:34,Twitter for Android,0,0,None,candystoryart,Designer.,تخيلوا لو يصير مستر كاندي ع الملابس او الاكواب والادوات 😍✨👏🏼 وش رايكم🤔 لازم نجرب💪🏼 mrcandystory ,96
@noon كيف افعل بطاقة هديه الراجحي,33,1237033937995730950,2020-03-09 15:14:08,Twitter for Android,0,0,None,k4e2w6SSnyKYdb6,الوافي, كيف افعل بطاقه هديه الراجحي,28
@atof7112 @noon كوبون خصم نون 😍NO57,35,1237026811713859585,2020-03-09 14:45:49,Twitter for iPhone,0,0,None,Dode69385247,Dode_ads, كوبون خصم نون 😍NO57,20
@noon @SaudiMCI  شوف الاستغلال يا وزارة التجاره,47,1237022420453728256,2020-03-09 14:28:22,Twitter for iPhone,0,0,None,fuadzamareeh,Fuad, شوف الاستغلال يا وزاره التجاره,31
@noon https://t.co/frPlvVM5tE,29,1237022055683555329,2020-03-09 14:26:55,Twitter for iPhone,0,0,None,fuadzamareeh,Fuad, ,1
"RT @noon: يا حابس النور بكفوفك🎶
أنوار ولمبات بخصم 10-75% من أحلى الأنواع والأشكال 💡💛

نوّنها على: https://t.co/oLMXnLaDWO

#هلا_نون https:/…",140,1237022002411638785,2020-03-09 14:26:42,Twitter Web,0,1,None,gnan1998,آبوفهدالدهاسي,RT يا حابس النور بكفوفك🎶 انوار ولمبات بخصم 1075 من احلي الانواع والاشكال 💡💛  نوّنها علي   هلانون htps,101
@noon كوبون خصم ZLUH 💛,22,1237005549692166146,2020-03-09 13:21:20,Twitter Web,0,0,None,OnlineDealsEg,Online Deals, كوبون خصم ZLUH 💛,17
@noon الرجاء الرد على الخاص,27,1237005418976751617,2020-03-09 13:20:48,Twitter for iPhone,0,0,None,sara_alzamil23,sara, الرجاء الرد علي الخاص,22
@noon خصم اضافي ABC93 💛💛,24,1237005086125101056,2020-03-09 13:19:29,Twitter Web,0,0,Saudi Arabia,OfferzMall,Offers Mall, خصم اضافي ABC93 💛,18
@noon انا طلبت طلبيه وابغى الغيها كيف الغيها؟!,46,1237004341447462912,2020-03-09 13:16:32,Twitter for iPhone,0,0,None,atof7112,Auatef, انا طلبت طلبيه وابغي الغيها كيف الغيها,39
@noon كيف اخلي طلبيتي في شحنة وحده؟,35,1237001900110893057,2020-03-09 13:06:50,Twitter for iPhone,0,0,Other,Q_ii09,قّ, كيف اخلي طلبيتي في شحنه وحده,29
"@noon كوبون خصم نون هدية لكم😍❤
خصم حتى 50 ريال  

انسخ كوبون الخصم  : AZ404
اللصق كوبون الخصم: AZ404",100,1236997994626637825,2020-03-09 12:51:18,Twitter for iPhone,0,0,Saudi Arabia,CouponsAZ404,كوبون خصم نون, كوبون خصم نون هديه لكم😍❤ خصم حتي 50 ريال   انسخ كوبون الخصم AZ404 الصق كوبون الخصم AZ404,89
@noon FWUT كود نون يخصم 10% لعميل جديد و 5% لعميل قديم,54,1236986363809009664,2020-03-09 12:05:05,Twitter for iPhone,0,0,Saudi Arabia,aasc621,ah, FWUT كود نون يخصم 10 لعميل جديد و 5 لعميل قديم,47
"The Lights @NOON

3.21(Sat)
OPEN/17:00
CLOSE/23:00
ADV/¥2,500+1 D

■LIVE:
JAMBO LACQUER
MONCHI
ÄURA

■DJ:
TAICH
ING… https://t.co/rp3D3rlB2X",140,1236983678787399680,2020-03-09 11:54:25,Twitter for iPhone,1,0,Japan,noon_cafe,NOON+CAFE,The Lights   321Sat OPEN170 CLOSE230 ADV¥2501 D  ■LIVE JAMBO LACQUER MONCHI ÄURA  ■DJ TAICH ING ,96
"@monis557 @noon وعليكم السلام،
نفيدك بأن الجهة المختصة هي وزارة التجارة في حال كان المتجر مسجل في خدمة ""معروف"" أو ي… https://t.co/bbMmtTfS8p",140,1236982003268009985,2020-03-09 11:47:46,Twitter Web,0,0,Saudi Arabia,cpaksa,جمعية حماية المستهلك, وعليكم السلام نفيدك بان الجه المختصه هي وزاره التجاره في حال كان المتجر مسجل في خدمه معروف او ي ,97
@noon طلبت يوم الجمعه وسويت سداد للعمليه وانسحبت الفلوس واشيك على طلبياتي مالقاها القى الطلبيه بسله باقي!!!؟؟؟ كيف… https://t.co/XKYEEZRyug,139,1236978925957513217,2020-03-09 11:35:32,Twitter for iPhone,0,0,Saudi Arabia,ahmw14252563,WHA, طلبت يوم الجمعه وسويت سداد لعمليه وانسحبت الفلوس واشيك علي طلبياتي مالقاها القي الطلبيه بسله باقي كيف ,103
@noon فيه وظايف,15,1236975301365837829,2020-03-09 11:21:08,Twitter for Android,0,0,None,mohammedsale987,ابو عبدالرحمن, فيه وظايف,10
@noon اسوء شركة تطلب طلب يلغون الطلب,36,1236975261616406529,2020-03-09 11:20:58,Twitter for iPhone,0,0,None,nq6vb,nq6v, اسوء شركه تطلب طلب يلغون الطلب,31
@noon مع ان مجموع الطلبات كلها قيمتها 84,40,1236967798250897409,2020-03-09 10:51:19,Twitter for Android,0,0,Saudi Arabia,norah_sh07_,نورة العساف, مع ان مجموع الطلبات كلها قيمتها 84,35
@noon انا شريت من الموقع حامل للجوال بقيمة 18 ريال ولما جاني الطلب طلب مني المندوب ادفع 47 ،،ليه هالمبلغ ؟,106,1236967211761369088,2020-03-09 10:48:59,Twitter for Android,0,0,Saudi Arabia,norah_sh07_,نورة العساف, انا شريت من الموقع حامل لجوال بقيمه 18 ريال ولما جاني الطلب طلب مني المندوب ادفع 47 ليه هالمبلغ ,97
@eman98680345 @noon شكرا,24,1236961332521566209,2020-03-09 10:25:37,Twitter for iPhone,1,0,Egypt,Sambekhasan1,سام🤟🏻, شكرا,5
@noon الغاء طلب في نون NSAC30037599804,38,1236960978417393664,2020-03-09 10:24:13,Twitter for iPhone,0,0,None,Nono42970253,Nono, الغاء طلب في نون NSAC303759804,31
@eman98680345 @noon المشكله في اللي تملي عينو,45,1236960822989139968,2020-03-09 10:23:36,Twitter for iPhone,1,0,Egypt,Sambekhasan1,سام🤟🏻, المشكله في الي تملي عينو,25
@eman98680345 من علي نوونً@noon,31,1236960264098103296,2020-03-09 10:21:23,Twitter for iPhone,1,0,Egypt,Sambekhasan1,سام🤟🏻, من علي نونً ,13
@fahad_alahmdi88 @noon  اجل المعقم ب ٥٥,39,1236956782527995909,2020-03-09 10:07:33,Twitter for iPhone,0,0,None,3bttl,𝙴𝚋𝚝𝚑𝚊𝚕 𝙰𝚕𝚊𝚗𝚣𝚒, اجل المعقم ب ٥,15
"للاسف تفاجأت من شركك @noon
طلبت طلبيه وبعد اسبوع ابلغوني بعدم توفرها بكل برود ورجعنا فلوسك في المحفظه ولاهمهم اش مر… https://t.co/hW5xVNYvkK",140,1236956533885415424,2020-03-09 10:06:33,Twitter for Android,0,0,Saudi Arabia,SalehMahroos,Saleh Mahroos,لاسف تفاجات من شرك  طلبت طلبيه وبعد اسبوع ابلغوني بعدم توفرها بكل برود ورجعنا فلوسك في المحفظه ولاهمهم اش مر ,109
@noon تم الغاء طلبيه من قبل منصة نون لزيادة سعر معقم اليدين طلبته وكان سعره خمسة عشر ريالا والغوا الطلب والان زادو… https://t.co/Gl1yPtgWUX,139,1236952929627779074,2020-03-09 09:52:14,Twitter for Android,0,0,None,BN37855041,B.N, تم الغاء طلبيه من قبل منصه نون لزياده سعر معقم اليدين طلبته وكان سعره خمسه عشر ريالا والغوا الطلب والان زادو ,110
@noon صددق انكم افششل موقع طلبت مشد اول مره قبل اسبوع ووصلني كبير قلت يمكن انا غلطانه وماقريت المقاس طلبت ثاني مره… https://t.co/H40FZwrYJB,139,1236950980056559621,2020-03-09 09:44:29,Twitter for iPhone,0,0,Saudi Arabia,rrrppp39,.., صدق انكم افشل موقع طلبت مشد اول مره قبل اسبوع وصلني كبير قلت يمكن انا غلطانه وماقريت المقاس طلبت ثاني مره ,107
RT @virtue_radio: Time to open your ears real wide and rock out with the Dark Lord of Rock n Roll every Sunday @noon to 2 pm NBT @ https://…,140,1236948614074617857,2020-03-09 09:35:05,Twitter Web,0,2,USA,AlleDragonfyre,Alleine Dragonfyre,RT Time to open your ears real wide and rock out with the Dark Lord of Rock n Rol every Sunday to 2 pm NBT ,107
@noon اتمنى تتواصلو معاي ضروري,30,1236939509717180416,2020-03-09 08:58:54,Twitter for iPhone,0,0,Saudi Arabia,saad059922,سعد الغامدي, اتمني تواصلو معاي ضروري,24
@X_lady7 @noon مو شي جديد عليهم #نون_النصب_والاحتيال,52,1236937602193862656,2020-03-09 08:51:20,Twitter for iPhone,0,0,Saudi Arabia,jeweled_99,jeweled, مو شي جديد عليهم نونالنصبوالاحتيال,35
@noon #نون_النصب_والاحتيال  ديور ماركة فرنسيه بس عند نون النصب والاحتيال ديور صناعة دبي 🤣,89,1236937413634789376,2020-03-09 08:50:35,Twitter for iPhone,0,0,Saudi Arabia,jeweled_99,jeweled, نونالنصبوالاحتيال ديور ماركه فرنسيه بس عند نون النصب والاحتيال ديور صناعه دبي 🤣,80
@Um_Lujain03 @noon ماهي شي جديده عليهم هذا التعريف لهم #نون_النصب_والاحتيال,75,1236927100621402113,2020-03-09 08:09:36,Twitter for iPhone,0,0,Saudi Arabia,jeweled_99,jeweled, ماهي شي جديده عليهم هذا التعريف لهم نونالنصبوالاحتيال,54
@somita1992 @noon نصيحه لا تتطلبووو منهم اول شي نصب ثاني شي بالقطره يجيبو الطلب ثالث شي اهمال غير طبيعي #مقاطعة_نون,115,1236926805522681856,2020-03-09 08:08:26,Twitter for iPhone,0,0,Saudi Arabia,jeweled_99,jeweled, نصيحه لا تطلبو منهم اول شي نصب ثاني شي بالقطره يجيبو الطلب ثالث شي اهمال غير طبيعي مقاطعهنون,93
@noon #ما_دريتا انكم اشر وباء #نون_النصب_والاحتيال  لابد من #مقاطعة_نون,71,1236926532230221829,2020-03-09 08:07:20,Twitter for iPhone,0,0,Saudi Arabia,jeweled_99,jeweled, مادريتا انكم اشر وباء نونالنصبوالاحتيال لابد من مقاطعهنون,58
@noon #نون_النصب_والاحتيال يعني مو معقوله نصب واحتيال عيني عينك!انتم اشر من الوباء كورونا😏 اول طلب لي قمتو بالنصب ا… https://t.co/MIyXybmKTh,140,1236925298459004928,2020-03-09 08:02:26,Twitter for iPhone,0,0,Saudi Arabia,jeweled_99,jeweled, نونالنصبوالاحتيال يعني مو معقوله نصب واحتيال عيني عينكانتم اشر من الوباء كورونا😏 اول طلب لي قمتو بالنصب ا ,107
@AboFahmy5 @noon انا لي شهر أطالب بفلوسي ماشفت ولا ريال,55,1236910435909218304,2020-03-09 07:03:23,Twitter for iPhone,0,0,None,nada77773262,nada, انا لي شهر اطالب بفلوسي ماشفت ولا ريال,39
"@noon السلام عليكم
ارجو الغاء الطلبيه.. ارسلتها على الواتساب ولم يتم الرد عليّ
NSAC30009134229-S2",97,1236906794712281088,2020-03-09 06:48:55,Twitter for Android,0,0,Saudi Arabia,Neutral__11,محايد ●○🇸🇦, السلام عليكم ارجو الغاء الطلبيه ارسلتها علي الواتساب ولم يتم الرد عليّ NSAC30913429S2,86
"RT @noon: للجمعات الرهيبة تحتاج سماعة وشاحن 🔋📻
 وشلون لو سماعة وشاحن متنقل بنفس الوقت، شيّك على سماعات نون إيست 💛

نوّنها على: https://t.co…",140,1236902101755678721,2020-03-09 06:30:16,Twitter Web,0,11,None,BrandiBergero19,Brandi Bergeron,RT لجمعات الرهيبه تحتاج سماعه وشاحن 🔋📻  وشلون لو سماعه وشاحن متنقل بنفس الوقت شيّك علي سماعات نون ايست 💛  نوّنها علي ,117
@Euiil_0 @noon هههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههه… https://t.co/QxtcOUJ5Po,140,1236896228845203456,2020-03-09 06:06:56,Twitter for iPhone,0,0,Other,muawc,وتّين الماجِد🇸🇦, ه ,3
@muawc @noon يمممه شفيه! https://t.co/frr3a42XD2,48,1236895836480700416,2020-03-09 06:05:22,Twitter for iPhone,0,0,Other,Euiil_0,NDA..✰, يمه شفيه ,10
@Euiil_0 @noon  صفقوها,22,1236892660226494464,2020-03-09 05:52:45,Twitter for iPhone,0,0,Other,muawc,وتّين الماجِد🇸🇦, صفقوها,7
@noon لا احد يتعامل معهم ليس لديهم مصداقيه نصيحه وتم إعطائي شئ غير الي انا طلبته ولم يستبدلوه ولم يعيدوا ليه ما دفع… https://t.co/DiEpdiR3fT,140,1236880019210846208,2020-03-09 05:02:31,Twitter for iPhone,0,0,None,Omar13250280,Omar, لا احد يتعامل معهم ليس لديهم مصداقيه نصيحه وتم اعطائي شئ غير الي انا طلبته ولم يستبدلوه ولم يعيدوا ليه ما دفع ,111
@noon اشتريت من عندكم جهاز و طلع خربان و الكرتون مفتوح ابغا ارجعه و اخذ فلوسي,77,1236877350534623232,2020-03-09 04:51:55,Twitter for iPhone,0,0,None,am_x57,ً, اشتريت من عندكم جهاز و طلع خربان و الكرتون مفتوح ابغا ارجعه و اخذ فلوسي,72
"RT @_sharbakh: @f_daar @noon_cares @noon تضامناً معك يافهد تم حذف التطبيق ولن يتم التعامل معهم نهائياً

#قصتي_مع_نون 
#تضامنا_مع_فهد_العقاب…",140,1236850295432450049,2020-03-09 03:04:24,Twitter for iPhone,0,20,None,R7NAD,رِيناد,RT تضامناً معك يافهد تم حذف التطبيق ولن يتم التعامل معهم نهائياً  قصتيمعنون  تضامنامعفهدالعقاب,94
@noon والله ايش من خساسة التعامل معكم كذب وتصريف يا القسم المختص,64,1236850073625133058,2020-03-09 03:03:31,Twitter for iPhone,0,0,Saudi Arabia,mosferali,ابن حمّاد, واله ايش من خساسه التعامل معكم كذب وتصريف يا القسم المختص,58
"@noon السلام عليكم الرجاء الغاء الطلبيه هاذي 
NSAC20081127161
الحسين اليامي
السبب : تغيير رأيي",94,1236849827000049664,2020-03-09 03:02:32,Twitter for iPhone,0,0,Egypt,fc5b4IEykn1j5J3,صالح, السلام عليكم الرجاء الغاء الطلبيه هاذي  NSAC208127161 الحسين اليامي السب تغير راي,82
@FtomAli @DRINKlWATER @f_daar @noon_cares @noon زيي ..ولا اذا خصم يخصم ريال ولا ريال ونص,88,1236849808306065414,2020-03-09 03:02:28,Twitter for iPhone,0,0,None,R7NAD,رِيناد, زي ولا اذا خصم يخصم ريال ولا ريال ونص,38
@abu_azo @f_daar @noon_cares @noon ياربي قد ايش مستفزه ردودهم ولا كنه صاير شي 😒,79,1236849368986193922,2020-03-09 03:00:43,Twitter for iPhone,0,0,None,R7NAD,رِيناد, ياربي قد ايش مستفزه ردودهم ولا كنه صاير شي 😒,45
@ihateyouallkkk طيب نون الاستغلالييين كيف ابلغ عليهم  @noon,59,1236834929528508417,2020-03-09 02:03:21,Twitter for iPhone,3,0,None,4Il_r,اص, طيب نون الاستغلالين كيف ابلغ عليهم ,36
"@noon 
السلام عليكم 
كيف الحال ياخواني
اشتريت من متجركم جوال ايفون ٦ وتقفل عندي الاكبود وكلمت شركة ابل لفتح الاكلود… https://t.co/6pu0BBq05W",140,1236796141448159234,2020-03-08 23:29:13,Twitter for Android,0,0,None,anfasturki,تركي الخليفه,  السلام عليكم  كيف الحال ياخواني اشتريت من متجركم جوال ايفون ٦ وتقفل عندي الاكبود وكلمت شركه ابل لفتح الاكلود ,111
@CouponsAZ404 @noon نبي أكثر من كذا إهداء ليوم المرأة العالمي 🥰,63,1236780284944793600,2020-03-08 22:26:12,Twitter for iPhone,0,0,None,ronagh__,⭐️رونق⭐️, نبي اكثر من كذا اهداء ليوم المراه العالمي 🥰,44
@CouponsAZ404 @noon مافيه اكثر من كذا ؟,39,1236776335231594498,2020-03-08 22:10:31,Twitter for iPhone,1,0,None,ronagh__,⭐️رونق⭐️, مافيه اكثر من كذا ,19
@CouponsAZ404 @noon خصم بس ٥٪,29,1236776294521724929,2020-03-08 22:10:21,Twitter for iPhone,0,0,None,ronagh__,⭐️رونق⭐️, خصم بس ٥٪,10
Rivercreek Wellness March 11 @NOON B12 Happy Hour.  Schedule here https://t.co/HBd5Vu17nh  #WeightLossSpokane… https://t.co/Bpt0P1OQIV,134,1236750560008613888,2020-03-08 20:28:05,Twitter Web,1,0,USA,JulieGeorgeND,Dr. Julie George,Rivercrek Welnes March 1 B12 Hapy Hour Schedule here WeightLosSpokane ,70
"@noon اكواد خصم موقع نون #يوم_المراه_العالمي 
#السعودية #الامارات ZLUH 💛
#مصر AFAR1691 💛",88,1236750079450656768,2020-03-08 20:26:11,Twitter Web,0,0,None,OnlineDealsEg,Online Deals, اكواد خصم موقع نون يومالمراهالعالمي  السعوديه الامارات ZLUH 💛 مصر AFAR1691 💛,77
@noon انا عندي طلبيه وصلت بس باقي قطعه لسى ماجت,47,1236747051599265797,2020-03-08 20:14:09,Twitter for iPhone,0,0,Saudi Arabia,msa19882,maha, انا عندي طلبيه وصلت بس باقي قطعه لسي ماجت,42
"RT @OfferzMall: @noon كوبون خصم ABC93 💛
#اليوم_العالمي_للمرأة https://t.co/wtqyRg275y",85,1236744257668624386,2020-03-08 20:03:03,Twitter for Android,0,1,None,Hossam01141062,Hossam,RT كوبون خصم ABC93 💛 اليومالعالميلمراه ,39
"@noon كوبون خصم ABC93 💛
#اليوم_العالمي_للمرأة https://t.co/wtqyRg275y",69,1236743708818771968,2020-03-08 20:00:52,Twitter Web,1,1,Saudi Arabia,OfferzMall,Offers Mall, كوبون خصم ABC93 💛 اليومالعالميلمراه ,37
@noon  #نون شوفو بكم قيمه المعقم ابو 12 و7ريال بكم صار https://t.co/Zddsst0oEw,78,1236743551792361474,2020-03-08 20:00:14,Twitter for iPhone,0,0,None,RaF1786,ريهـام ⚜️, نون شوفو بكم قيمه المعقم ابو 12 و7ريال بكم صار ,48
@noon وصلني المنتج في حالة سيئة كيف طريقة الإرجاع او الاستبدال,62,1236742488880304131,2020-03-08 19:56:01,Twitter for Android,0,0,None,hmoon441,Huda Moon, وصلني المنتج في حاله سيئه كيف طريقه الارجاع او الاستبدال,57
"RT @sosooosoos: @noon سؤال بما انه الصناعه صينيه هل تحمل فيروس كرونا  
.
.
.
.
..
.
.
.
.
..

البعض تم مقاطعة نون بسبب صينيه وممكن تحمل فير…",140,1236738143245795328,2020-03-08 19:38:45,Twitter for Android,0,112,Other,raewwmah12,رَيّوُوُوُمِـهِ آلَقَحً ـطٌـآنٌيّ 💕دخوول متقطع 💕,RT سؤال بما انه الصناعه صينيه هل تحمل فيروس كرونا             البعض تم مقاطعه نون بسب صينيه ومكن تحمل فير,105
@noon السلام عليكم .. قبل يومين سويت تاجيل للطلبيه وللحين لم يتم التسليم . والحل,80,1236734428635938823,2020-03-08 19:23:59,Twitter for iPhone,0,0,None,tuuoty,توتي, السلام عليكم قبل يومين سويت تاجيل لطلبيه ولحين لم يتم التسليم والحل,68
"@noon مساء الخير
عايز الغي اوردر علشان اعدله 
NEGC30096237000 
رقم",66,1236730163041370114,2020-03-08 19:07:02,Twitter for Android,0,0,None,AEltanahi,A.A.TANAHY, مساء الخير عايز الغي اوردر علشان اعدله  NEGC30962370  رقم,58
@remas_1414 @noon مررره جميل,28,1236725870183751680,2020-03-08 18:49:59,Twitter for iPhone,0,0,None,Bin_Ateeq93,Abdullah Al Otaibi (MBS🇸🇦), مره جميل,9
@Bin_Ateeq93 @noon كيف نظامها حلو,33,1236724802007728133,2020-03-08 18:45:44,Twitter for iPhone,0,0,Saudi Arabia,remas_1414,ريماس الشهري (MBS) 🇸🇦, كيف نظامها حلو,15
@noon ماهو مبلغ VAT المقدر؟,27,1236717665143701510,2020-03-08 18:17:23,Twitter for iPhone,1,0,Other,nadosah__,76..💋, ماهو مبلغ VAT المقدر,21
@cpaksa السلام عليكم ، فضلًا الاستفسار ، هل تخضع مواقع البيع الالكتروني لسلطاتكم وصلاحياتكم الرقابية ، @noon مثلا,113,1236717123394768899,2020-03-08 18:15:13,Twitter for iPhone,0,0,Saudi Arabia,monis557,m.h.monis, السلام عليكم فضلًا الاستفسار هل تخضع مواقع البيع الالكتروني لسلطاتكم وصلاحياتكم الرقابيه مثلا,94
@falqahtani555 @noon نفس ه🤣🤣🤣🤣,30,1236717009112621057,2020-03-08 18:14:46,Twitter for iPhone,0,0,None,NAHAR85182028,NAHAR, نفس ه🤣,7
@noon_cares @ask4arvind @AmazonAE @noon ارجوووووو الرد خاص,58,1236713287057838086,2020-03-08 17:59:59,Twitter for iPhone,0,0,None,WwwFotom,fotom, ارجو الرد خاص,14
@CouponsAZ404 @noon كم تكون قيمه المنتج,39,1236710975346282501,2020-03-08 17:50:48,Twitter for iPhone,0,0,Saudi Arabia,jjjkkkkkooo,.., كم تكون قيمه المنتج,20
@CouponsAZ404 @noon ماهي المنتجات اللي تنفع مع ذا الكود لانه يقول غير صالح,74,1236710789895110669,2020-03-08 17:50:03,Twitter for iPhone,0,0,Saudi Arabia,jjjkkkkkooo,.., ماهي المنتجات الي تنفع مع ذا الكود لانه يقول غير صالح,54
@noon  لدي طلبيه واريد رجاااااء تجميعها وارسالها مرة واحدة رقم الطلب NSAC30062880328,84,1236707302654332931,2020-03-08 17:36:12,Twitter for iPhone,0,0,Saudi Arabia,x4t16,🌿, لدي طلبيه واريد رجاء تجميعها وارسالها مره واحده رقم الطلب NSAC306280328,72
@noon السلام عليكم قدمت على رابطكم ك مندوب توصيل بدوام جزئي ولم يتم الرد علي الان لي اسبوع,90,1236701718571888640,2020-03-08 17:14:01,Twitter for iPhone,0,0,None,kaliiidd,♡| ‏​mr.ℓσd, السلام عليكم قدمت علي رابطكم ك مندوب توصيل بدوام جزئي ولم يتم الرد علي الان لي اسبوع,85
@noon ⁦❤️⁩,10,1236693490979004417,2020-03-08 16:41:19,Twitter for Android,1,0,None,ms68m,🎀📲هـُبـههہ 📲🎀, ⁦❤️⁩,5
Time to open your ears real wide and rock out with the Dark Lord of Rock n Roll every Sunday @noon to 2 pm NBT @… https://t.co/7lqsYBhSGN,137,1236690728794738689,2020-03-08 16:30:21,Other,2,2,None,virtue_radio,VirtueRadio,Time to open your ears real wide and rock out with the Dark Lord of Rock n Rol every Sunday to 2 pm NBT ,104
الحين انا اتريا اسبوعين واخر شي نون يلغون طلبيتي ؟؟؟؟؟  @noon خدمات فاشله https://t.co/FNgQtGUwu8,97,1236689740117745668,2020-03-08 16:26:25,Twitter for iPhone,0,0,United Arab Emirates,ahhmd_9,ahmed,الحين انا اتريا اسبوعين واخر شي نون يلغون طلبيتي خدمات فاشله ,61
@noon لو سمحتو التي اختربت اخذتها من عندكم فجأه اختربت وعليها ضمان بعد,70,1236688637594685440,2020-03-08 16:22:02,Twitter for iPhone,0,0,Other,asma_aldosrry,AS🇸🇦., لو سمحتو التي اختربت اخذتها من عندكم فجاه اختربت وعليها ضمان بعد,65
@noon_cares خصم بطاقة بنك البلاد شغال ؟,39,1237062298277163013,2020-03-09 17:06:50,Twitter for iPhone,0,0,None,Timekoder,D𝔻 ⚡️, خصم بطاقه بنك البلاد شغال ,27
@noon_cares وشلون وانتم ماتعرفون رقم طلبيتي,43,1237061176510513152,2020-03-09 17:02:22,Twitter for iPhone,0,0,None,geralbshar,🇸🇦, وشلون وانتم ماتعرفون رقم طلبيتي,32
@noon_cares وشلون اخلي الشحنات تكون مع بعض مايجون متفرقين,57,1237058028828004353,2020-03-09 16:49:52,Twitter for iPhone,0,0,None,geralbshar,🇸🇦, وشلون اخلي الشحنات تكون مع بعض مايجون متفرقين,46
@noon_cares هل هي تعبئه دبي؟,28,1237056180360486912,2020-03-09 16:42:31,Twitter for iPhone,0,0,None,najdalmu,none, هل هي تعبئه دبي,16
@noon_cares @GGHH_92 @Ghaith920 السلام عليكم لدي شحنه المفروض استلمها من قبل امس وللان لم تسلم,94,1237052033829613570,2020-03-09 16:26:02,Twitter for iPhone,0,0,None,f_aljofe,ﺂلجوفـي..♡, السلام عليكم لدي شحنه المفروض استلمها من قبل امس ولان لم تسلم,62
@noon_cares لو انه رايح من الرياض للدمام وصل من 5 العصر انتظر مندوبكم https://t.co/6nnGz5hUya,93,1237051424602755072,2020-03-09 16:23:37,Twitter for iPhone,0,0,None,MND__90,محـمد الاسـمري, لو انه رايح من الرياض لدمام وصل من 5 العصر انتظر مندوبكم ,58
@noon_cares ردو على الخاص,25,1237046230477406208,2020-03-09 16:02:59,Twitter for iPhone,0,0,None,somii_0i,سُميه, ردو علي الخاص,14
@noon_cares تم التواصل,22,1237032091361202177,2020-03-09 15:06:48,Twitter for iPhone,0,0,None,fhda1996,fhda1996, تم التواصل,11
@noon_cares مرحبا ابغا وصله اشبك الجوال بالتلفزيون لجهاز جالكسي,63,1237031039446499328,2020-03-09 15:02:37,Twitter for iPhone,0,0,None,fhda1996,fhda1996, مرحبا ابغا وصله اشبك الجوال بالتلفزيون لجهاز جالكسي,52
@noon_cares السلام عليكم ممكن التواصل معي خاص لو سمحت,53,1237000800301387776,2020-03-09 13:02:27,Twitter for Android,0,0,None,Ali66556951,ali|¶, السلام عليكم مكن التواصل معي خاص لو سمحت,41
